72Пл;72Ам;72Нс;72;Пл;Ам;Нс;;Пл;Ам;Нс;;2670
72Н;72Чм;72Б;72;Н;Чм;Б;;Н;Чм;Б;;2500
72ЧМБ;72ЧМЖ;72ЧМК;72;ЧМБ;ЧМЖ;ЧМК;;ЧМБ;ЧМЖ;ЧМК;;2815
64Пл;64Ам;64Нс;64;66Пл;66Ам;66Нс;66;Пл;Ам;Нс;;2670
64Н;64Чм;64Б;64;66Н;66Чм;66Б;66;Н;Чм;Б;;2500
64ЧМБ;64ЧМЖ;64ЧМК;64;66ЧМБ;66ЧМЖ;66ЧМК;66;ЧМБ;ЧМЖ;ЧМК;;2815
414Пл;414А;414Ам;414Нс;Пл;А;Ам;Нс;Пл;А;Ам;Нс;2725
414Н;414Чм;414Б;414;Н;Чм;Б;;Н;Чм;Б;;2550
79.1,Пл;79.1,;79.1,;79.1,;82.1Пл;82.1;82.1;82.1;Пл;;;;3085
79.1,Н;79.1,Чм;79.1,Б;79.1,;82.1Н;82.1Чм;82.1Б;82.1;Н;Чм;Б;;2890
79.2,Пл;79.2,;79.2,;79.2,;82.2Пл;82.2;82.2;82.2;Пл;;;;2950
79.2,Н;79.2,Чм;79.2,Б;79.2,;82.2Н;82.2Чм;82.2Б;82.2;Н;Чм;Б;;2760
604А;604Ам;604;604;А;Ам;;;А;Ам;;;3155
604Н;604;604;604;Н;;;;Н;;;;2955
606А;606Ам;606;606;А;Ам;;;А;Ам;;;3155
606Н;606;606;606;Н;;;;Н;;;;2955
84Пл;84Ам;84Нс;84;85Пл;85Ам;85Нс;85;86Пл;86Ам;86Нс;86;3155
84Н;84Чм;84Б;84;85Н;85Чм;85Б;85;86Н;86Чм;86Б;86;2955
84ЧБ;84;84;84;85ЧБ;85;85;85;86ЧБ;86;86;86;3325
404Пл;404Ам;404Нс;404;406Пл;406Ам;406Нс;406;Пл;Ам;Нс;;3155
404Н;404Чм;404Б;404;406Н;406Чм;406Б;406;Н;Чм;Б;;2955
404ЧБ;404;404;404;406ЧБ;406;406;406;ЧБ;;;;3325
402Пл;402А;402Нс;402;Пл;А;Нс;;Пл;А;Нс;;3155
402Н;402Чм;402Б;402;Н;Чм;Б;;Н;Чм;Б;;2955
68Пл;68Ам;68Нс;68;Пл;Ам;Нс;;Пл;Ам;Нс;;3155
68Н;68Чм;68Б;68;Н;Чм;Б;;Н;Чм;Б;;2955
68ЧМБ;68ЧМЖ;68ЧМК;68;ЧМБ;ЧМЖ;ЧМК;;ЧМБ;ЧМЖ;ЧМК;;3325
78Пл;78Ам;78Нс;78;80Пл;80Ам;80Нс;80;Пл;Ам;Нс;;3210
78Н;78Чм;78Б;78;80Н;80Чм;80Б;80;Н;Чм;Б;;3005
78ЧМБ;78ЧМЖ;78ЧМК;78;80ЧМБ;80ЧМЖ;80ЧМК;80;ЧМБ;ЧМЖ;ЧМК;;3385
411Пл;411А;411Ам;411Нс;412Пл;412А;412Ам;412Нс;Пл;А;Ам;Нс;3210
411Н;411Чм;411Б;411;412Н;412Чм;412Б;412;Н;Чм;Б;;3005
605А;605Ам;605;605;А;Ам;;;А;Ам;;;3660
605Н;605;605;605;Н;;;;Н;;;;3425
60Пл;60Ам;60Нс;60;61Пл;61Ам;61Нс;61;Пл;Ам;Нс;;3660
60Н;60Чм;60Б;60;61Н;61Чм;61Б;61;Н;Чм;Б;;3425
60ЧМБ;60ЧМЖ;60ЧМК;60;61ЧМБ;61ЧМЖ;61ЧМК;61;ЧМБ;ЧМЖ;ЧМК;;3860
58Пл;58Ам;58Нс;58;Пл;Ам;Нс;;Пл;Ам;Нс;;3660
58Н;58Чм;58Б;58;Н;Чм;Б;;Н;Чм;Б;;3425
58ЧБ;58;58;58;ЧБ;;;;ЧБ;;;;3860
87Пл;87Ам;87Нс;87;Пл;Ам;Нс;;Пл;Ам;Нс;;3660
87Нн;87Т;87Чм;87Бн;Нн;Т;Чм;Бн;Нн;Т;Чм;Бн;3425
87ЧБ;87;87;87;ЧБ;;;;ЧБ;;;;3860
89Пл;89Ам;89;89;90Пл;90Ам;90;90;Пл;Ам;;;3660
89Нн;89Чм;89Бн;89;90Нн;90Чм;90Бн;90;Нн;Чм;Бн;;3425
89ЧБ;89;89;89;90ЧБ;90;90;90;ЧБ;;;;3860
55Пл;55Ам;55;55;Пл;Ам;;;Пл;Ам;;;3695
55Н;55Чм;55Б;55;Н;Чм;Б;;Н;Чм;Б;;3460
55ЧМБ;55ЧМЖ;55ЧМК;55;ЧМБ;ЧМЖ;ЧМК;;ЧМБ;ЧМЖ;ЧМК;;3895
407Пл;407А;407Ам;407Нс;408Пл;408А;408Ам;408Нс;410Пл;410А;410Ам;410Нс;3695
407Н;407Чм;407Б;407;408Н;408Чм;408Б;408;410Н;410Чм;410Б;410;3460
53Пл;53;53;53;54Пл;54;54;54;Пл;;;;3695
53Н;53Т;53Чм;53Б;54Н;54Т;54Чм;54Б;Н;Т;Чм;Б;3460
59Пл;59;59;59;Пл;;;;Пл;;;;3790
59Н;59Чм;59;59;Н;Чм;;;Н;Чм;;;3550
59.1Пл;59.1;59.1;59.1;Пл;;;;Пл;;;;3700
59.1Н;59.1Чм;59.1;59.1;Н;Чм;;;Н;Чм;;;3465
59.41Пл;59.41;59.41;59.41;Пл;;;;Пл;;;;3995
59.41Н;59.41Чм;59.41;59.41;Н;Чм;;;Н;Чм;;;3740
70Пл;70Ам;70;70;71Пл;71Ам;71;71;Пл;Ам;;;3870
70Н;70Чм;70Б;70;71Н;71Чм;71Б;71;Н;Чм;Б;;3625
63.1Пл;63.1Ам;63.1;63.1;Пл;Ам;;;Пл;Ам;;;4010
63.1Н;63.1Чм;63.1Б;63.1;Н;Чм;Б;;Н;Чм;Б;;3755
405.1А;405.1Ам;405.1;405.1;А;Ам;;;А;Ам;;;4010
405.1Н;405.1Чм;405.1;405.1;Н;Чм;;;Н;Чм;;;3755
405.2А;405.2Ам;405.2;405.2;А;Ам;;;А;Ам;;;3850
405.2Н;405.2Чм;405.2;405.2;Н;Чм;;;Н;Чм;;;3605
77Пл;77Ам;77;77;Пл;Ам;;;Пл;Ам;;;4010
77Н;77Чм;77Б;77;Н;Чм;Б;;Н;Чм;Б;;3755
95Пл;95Ам;95;95;99Пл;99Ам;99;99;Пл;Ам;;;4415
95Н;95Чм;95;95;99Н;99Чм;99;99;Н;Чм;;;4135
95ЧБ;95;95;95;99ЧБ;99;99;99;ЧБ;;;;4655
69Пл;69Ам;69;69;Пл;Ам;;;Пл;Ам;;;4415
69Н;69Чм;69Б;69;Н;Чм;Б;;Н;Чм;Б;;4135
69ЧМБ;69ЧМЖ;69ЧМК;69;ЧМБ;ЧМЖ;ЧМК;;ЧМБ;ЧМЖ;ЧМК;;4655
91Пл;91Ам;91Нс;91;93Пл;93Ам;93Нс;93;94Пл;94Ам;94Нс;94;4415
91Н;91Чм;91Бн;91;93Н;93Чм;93Бн;93;94Н;94Чм;94Бн;94;4135
91ЧБ;91;91;91;93ЧБ;93;93;93;94ЧБ;94;94;94;4655
92Пл;92;92;92;Пл;;;;Пл;;;;4550
92Н;92Чм;92;92;Н;Чм;;;Н;Чм;;;4260
403Пл;403А;403Ам;403Нс;Пл;А;Ам;Нс;Пл;А;Ам;Нс;5245
403Н;403Чм;403Б;403;Н;Чм;Б;;Н;Чм;Б;;4915
